"Pesca marítima. Desembarques mensuales totales por puerto. Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 14
,,,,
Período,Total desembarques,Desembarques por puerto,,
,,Ushuaia,Almanza,
,,toneladas,,
,,,,
1990,41417.49999999999,41417.49999999999,0,
Enero,4938.8,4938.8,0,
Febrero,166.7,166.7,0,
Marzo,29.4,29.4,0,
Abril,3290.9,3290.9,0,
Mayo,756.1,756.1,0,
Junio ,5838.2,5838.2,0,
Julio,5327.8,5327.8,0,
Agosto,325.2,325.2,0,
Septiembre,4785.6,4785.6,0,
Octubre,6771.6,6771.6,0,
Noviembre,2507,2507,0,
Diciembre,6680.2,6680.2,0,
1991,96130.40000000001,96130.40000000001,0,
Enero,8319.1,8319.1,0,
Febrero,38.5,38.5,0,
Marzo,6332.3,6332.3,0,
Abril,3556.2,3556.2,0,
Mayo,9371.1,9371.1,0,
Junio ,19411.6,19411.6,0,
Julio,3313.8,3313.8,0,
Agosto,7000.5,7000.5,0,
Septiembre,7436.4,7436.4,0,
Octubre,10047.5,10047.5,0,
Noviembre,8051.8,8051.8,0,
Diciembre,13251.6,13251.6,0,
1992,112565.29999999999,112565.29999999999,0,
Enero,12211.4,12211.4,0,
Febrero,11575.4,11575.4,0,
Marzo,6098.8,6098.8,0,
Abril,6095.2,6095.2,0,
Mayo,11779.5,11779.5,0,
Junio ,15912.3,15912.3,0,
Julio,9887.3,9887.3,0,
Agosto,6874.4,6874.4,0,
Septiembre,2421.3,2421.3,0,
Octubre,8420.2,8420.2,0,
Noviembre,13901.6,13901.6,0,
Diciembre,7387.9,7387.9,0,
1993,167416.30000000002,167416.30000000002,0,
Enero,23048.9,23048.9,0,
Febrero,11387,11387,0,
Marzo,24416.5,24416.5,0,
Abril,6598.5,6598.5,0,
Mayo,20475.6,20475.6,0,
Junio ,14275.3,14275.3,0,
Julio,3538.5,3538.5,0,
Agosto,10039.1,10039.1,0,
Septiembre,7609,7609,0,
Octubre,7701,7701,0,
Noviembre,21169.7,21169.7,0,
Diciembre,17157.2,17157.2,0,
1994,116258,116258,0,
Enero,2379.6,2379.6,0,
Febrero,8674.6,8674.6,0,
Marzo,6529,6529,0,
Abril,6486.9,6486.9,0,
Mayo,8609.1,8609.1,0,
Junio ,18260.5,18260.5,0,
Julio,14878.1,14878.1,0,
Agosto,2539.5,2539.5,0,
Septiembre,7348.5,7348.5,0,
Octubre,14479.9,14479.9,0,
Noviembre,11026.6,11026.6,0,
Diciembre,15045.7,15045.7,0,
1995,124804.6,124785,19.6,
Enero,3266.4,3266.4,0,
Febrero,2862.4,2862.4,0,
Marzo,9527.1,9527.1,0,
Abril,7459.8,7459.8,0,
Mayo,21659.2,21652,7.2,
Junio ,17765.6,17765.6,0,
Julio,13973.3,13973.3,0,
Agosto,7104.1,7104.1,0,
Septiembre,42.599999999999994,35.8,6.8,
Octubre,13677.9,13672.3,5.6,
Noviembre,12495.8,12495.8,0,
Diciembre,14970.4,14970.4,0,
1996,124376.20000000001,124356.70000000001,19.499999999999996,
Enero,3654.5,3642.9,11.6,
Febrero,6630.3,6629.5,0.8,
Marzo,5144.2,5143.2,1,
Abril,7978.5,7976.9,1.6,
Mayo,13866.199999999999,13864.8,1.4,
Junio ,17555.9,17555,0.9,
Julio,13644.300000000001,13643.6,0.7,
Agosto,5840.099999999999,5839.7,0.4,
Septiembre,6845.400000000001,6845.3,0.1,
Octubre,12692.1,12691.1,1,
Noviembre,11347.9,11347.9,0,
Diciembre,19176.8,19176.8,0,
1997,107418.6,107414.5,4.1,
Enero,2699.7,2699.7,0,
Febrero,4507.4,4507.4,0,
Marzo,5809.5,5809.3,0.2,
Abril,10488.900000000001,10488.2,0.7,
Mayo,11355.400000000001,11354.7,0.7,
Junio ,22276.6,22276.6,0,
Julio,7844,7843.6,0.4,
Agosto,8079.5,8079.1,0.4,
Septiembre,9706.2,9705.5,0.7,
Octubre,2903.9,2902.9,1,
Noviembre,11989.2,11989.2,0,
Diciembre,9758.3,9758.3,0,
1998,122015.2,122011.8,3.4000000000000004,
Enero,1167.6,1167.6,0,
Febrero,1583,1582.5,0.5,
Marzo,14757.300000000001,14756.2,1.1,
Abril,5137.5,5135.7,1.8,
Mayo,19321.7,19321.7,0,
Junio ,9917.8,9917.8,0,
Julio,13572.5,13572.5,0,
Agosto,6542.9,6542.9,0,
Septiembre,14201.3,14201.3,0,
Octubre,14280.3,14280.3,0,
Noviembre,5536.8,5536.8,0,
Diciembre,15996.5,15996.5,0,
1999,106414.2,106369.5,44.7,
Enero,2391.2,2391.2,0,
Febrero,7391,7390.9,0.1,
Marzo,7316.3,7316.3,0,
Abril,7909.7,7909.7,0,
