"Pesca marítima. Desembarques totales por puerto y flota. Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto y flota,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022 (1),2023 (2)
toneladas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total desembarques en la provincia,41417.5,96130.5,112565.4,167416.3,116258.00000000001,124804.6,124376.20000000001,107418.59999999999,122014.99999999999,106414.1,109331.2,89299.79999999999,97433.7,97684.3,128205.2,90472.7,103610.4,79658.8,94333.8,101575.3,79693.7,63171.700000000004,69215.4,42496.50000000001,46250.7,53625.6,47964.899999999994,41496.3,53691.799999999996,49524.299999999996,49666.59999999999,49703.8,39866.3,20951.3
Total fresqueros,7328.5,23679.5,108.4,75.1,191.1,345.6,459.6,466.9,478.70000000000005,371.1,330.8,239.0,138.8,191.9,190.9,91.0,387.7,29.799999999999997,0.0,0.0,0.0,0.0,0.0,11.4,7.1,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0,-
Rada o ría,7227.4,23497.1,59.9,39.9,124.0,214.9,312.0,208.1,222.8,147.6,293.90000000000003,187.0,99.5,100.0,156.3,51.8,187.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Costeros,101.1,140.9,48.5,35.2,67.1,130.70000000000002,147.6,258.8,255.9,223.5,36.9,52.0,39.3,91.9,34.6,39.2,200.5,29.4,0.0,0.0,0.0,0.0,0.0,11.4,7.1,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0,-
Fresqueros,0.0,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-
Total congeladores,34089.0,72451.0,112457.0,167341.19999999998,116066.90000000001,124459.0,123916.6,106951.7,121536.29999999999,106043.0,109000.4,89060.79999999999,97294.9,97492.40000000001,128014.3,90381.70000000001,103222.7,79629.0,94333.8,101575.3,79693.7,63171.700000000004,69215.4,42485.2,46243.6,53625.6,47957.7,41496.3,53691.799999999996,49524.299999999996,49666.59999999999,49645.100000000006,39866.3,20951.3
